latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
40.7506561,-73.582905,2011,6.244032922,72.30864198,243,43.23925926
40.7506561,-73.582905,2012,8.925409836,71.75,244,48.0657377
40.7506561,-73.582905,2013,6.86090535,72.68312757,243,44.34962963
40.7506561,-73.582905,2014,5.546090535,70.88888889,243,41.98296296
40.7506561,-73.582905,2015,5.531687243,71.32510288,243,41.95703704
40.7506561,-73.582905,2016,8.226639344,72.06147541,244,46.80795082
40.7506561,-73.582905,2017,7.460082305,71.61728395,243,45.42814815
40.7506561,-73.582905,2018,6.758024691,71.6255144,243,44.16444444
40.7506561,-73.582905,2019,6.582304527,71.49794239,243,43.84814815
40.7506561,-73.582905,2020,7.184016393,71.34016393,244,44.93122951
40.7506561,-73.582905,2021,7.226337449,70.81069959,243,45.00740741
40.7506561,-73.582905,2022,7.519753086,70.97119342,243,45.53555556
40.7506561,-73.582905,2023,8.058847737,70.92592593,243,46.50592593
40.7506561,-73.582905,2024,7.746721311,73.30327869,244,45.94409836
40.7506561,-73.582905,2025,7.144855967,68.65432099,243,44.86074074
40.7506561,-73.582905,2026,2.951612903,71.01935484,155,37.31290323
40.7831,-73.9712,2010,6.868312757,70.50617284,243,44.36296296
40.7831,-73.9712,2011,5.800411523,70.76131687,243,42.44074074
40.7831,-73.9712,2012,8.491393443,70.3852459,244,47.2845082
40.7831,-73.9712,2013,6.380246914,71.01234568,243,43.48444444
40.7831,-73.9712,2014,4.954320988,69.29218107,243,40.91777778
40.7831,-73.9712,2015,5.09218107,69.1399177,243,41.16592593
40.7831,-73.9712,2016,7.893852459,69.81557377,244,46.20893443
40.7831,-73.9712,2017,7.326337449,70.0781893,243,45.18740741
40.7831,-73.9712,2018,6.948971193,69.38271605,243,44.50814815
40.7831,-73.9712,2019,6.772016461,69.84773663,243,44.18962963
40.7831,-73.9712,2020,7.278278689,69.72540984,244,45.10090164
40.7831,-73.9712,2021,7.289711934,69.44444444,243,45.12148148
40.7831,-73.9712,2022,7.667489712,69.09876543,243,45.80148148
40.7831,-73.9712,2023,8.246502058,68.58024691,243,46.8437037
40.7831,-73.9712,2024,8.023360656,70.99590164,244,46.44204918
40.7831,-73.9712,2025,7.561728395,65.38271605,243,45.61111111
40.7831,-73.9712,2026,3.015483871,68.86451613,155,37.42787097
40.8448,-73.8648,2010,6.94526749,71.30041152,243,44.50148148
40.8448,-73.8648,2011,5.887654321,71.68312757,243,42.59777778
40.8448,-73.8648,2012,8.62295082,71.16393443,244,47.52131148
40.8448,-73.8648,2013,6.511934156,71.86831276,243,43.72148148
